# RA Dec X Y ID_GRIDPT
3.7558143043723096 -30.463697762153885 25 25 1
3.7558042496922655 -30.446592210845846 25 105 2
3.7557941985346774 -30.429486649629286 25 185 3
3.7359692288329795 -30.46370500395353 105 25 4
3.7359626508872146 -30.446599434368366 105 105 5
3.7359560752458667 -30.429493854875076 105 185 6
3.716124113229459 -30.463709241987885 185 25 7
3.7161210120335717 -30.44660365617529 185 105 8
3.7161179119241 -30.429498060454794 185 185 9
3.6962789623231713 -30.463710476239083 265 25 10
3.696279337890275 -30.446604876248774 265 105 11
3.696279713325804 -30.42949926635062 265 185 12
3.6764337808755987 -30.463708706691975 345 25 13
3.676437633216264 -30.446603094573664 345 105 14
3.676441484207383 -30.42949747254741 345 185 15
